--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
delta, voltage
439, 16
320, 135
357, 98
287, 168
331, 124
279, 176
259, 196
292, 163
247, 208
297, 158
254, 201
234, 221
279, 176
232, 223
287, 168
260, 195
227, 228
284, 171
242, 213
225, 230
273, 182
232, 223
284, 171
263, 192
224, 231
281, 174
247, 208
222, 233
276, 179
235, 220
222, 233
271, 184
227, 228
281, 174
259, 196
225, 230
280, 175
245, 210
223, 232
275, 180
233, 222
224, 231
268, 187
226, 229
279, 176
258, 197
225, 230
280, 175
241, 214
223, 232
274, 181
232, 223
218, 237
268, 187
224, 231
278, 177
258, 197
222, 233
278, 177
246, 209
223, 232
277, 178
235, 220
219, 236
272, 183
224, 231
279, 176
259, 196
222, 233
280, 175
246, 209
222, 233
277, 178
233, 222
217, 238
269, 186
227, 228
280, 175
261, 194
222, 233
279, 176
247, 208
222, 233
280, 175
234, 221
220, 235
269, 186
157, 298
63, 392
63, 392
87, 368
105, 350
93, 362
55, 400
9, 446
-29, 484
-62, 517
-87, 542
-111, 566
-125, 580
-139, 594
-152, 607
-162, 617
-175, 630
-182, 637
-185, 640
-190, 645
-196, 651
-202, 657
-213, 668
-214, 669
-213, 668
-221, 676
-224, 679
-229, 684
-231, 686
-234, 689
-237, 692
-239, 694
-237, 692
-244, 699
-242, 697
-247, 702
-244, 699
-241, 696
-246, 701
-251, 706
-247, 702
-251, 706
-248, 703
-251, 706
-248, 703
-251, 706
-247, 702
-250, 705
-246, 701
-250, 705
-246, 701
-250, 705
-246, 701
-249, 704
-245, 700
-249, 704
-245, 700
-249, 704
-245, 700
-249, 704
-245, 700
-249, 704
-246, 701
-250, 705
-247, 702
-251, 706
-248, 703
-252, 707
-249, 704
-253, 708
-251, 706
-255, 710
-254, 709
-256, 711
-254, 709
-257, 712
-255, 710
-259, 714
-257, 712
-261, 716
-258, 713
-263, 718
-259, 714
-263, 718
-260, 715
-264, 719
-262, 717
-267, 722
-264, 719
-268, 723
-266, 721
-270, 725
-267, 722
-271, 726
-268, 723
-272, 727
-269, 724
-273, 728
-270, 725
-274, 729
-272, 727
-276, 731
-272, 727
-276, 731
-274, 729
-277, 732
-275, 730
-278, 733
-270, 725
-277, 732
-268, 723
-256, 711
-230, 685
-193, 648
-168, 623
-123, 578
-71, 526
-29, 484
10, 445
45, 410
77, 378
102, 353
113, 342
100, 355
53, 402
-13, 468
-65, 520
-107, 562
-140, 595
-164, 619
-189, 644
-202, 657
-220, 675
-226, 681
-238, 693
-240, 695
-249, 704
-248, 703
-256, 711
-254, 709
-261, 716
-258, 713
-263, 718
-260, 715
-266, 721
-263, 718
-268, 723
-264, 719
-269, 724
-267, 722
-270, 725
-267, 722
-271, 726
-268, 723
-272, 727
-269, 724
-273, 728
-271, 726
-275, 730
-272, 727
-276, 731
-273, 728
-277, 732
-274, 729
-278, 733
-276, 731
-280, 735
-278, 733
-283, 738
-280, 735
-284, 739
-282, 737
-285, 740
-283, 738
-287, 742
-284, 739
-288, 743
-286, 741
-290, 745
-287, 742
-290, 745
-288, 743
-291, 746
-289, 744
-292, 747
-290, 745
-293, 748
-291, 746
-288, 743
-290, 745
-285, 740
-269, 724
-245, 700
-204, 659
-180, 635
-133, 588
-81, 536
-37, 492
2, 36, 419
68, 387
90, 365
93, 362
68, 387
26, 429
-15, 470
-44, 499
-73, 528
-97, 552
-112, 567
-127, 582
-141, 596
-152, 607
-162, 617
-170, 625
-178, 633
-188, 643
-192, 647
-202, 657
-205, 660
-213, 668
-216, 671
-222, 677
-224, 679
-232, 687
-233, 688
-241, 696
-243, 698
-248, 703
-249, 704
-254, 709
-256, 711
-262, 717
-263, 718
-269, 724
-269, 724
-274, 729
-274, 729
-278, 733
-278, 733
-283, 738
-282, 737
-286, 741
-286, 741
-290, 745
-288, 743
-292, 747
-291, 746
-294, 749
-293, 748
-296, 751
-295, 750
-298, 753
-296, 751
-299, 754
-297, 752
-288, 743
-297, 752
-299, 754
-296, 751
-298, 753
-295, 750
-297, 752
-294, 749
-295, 750
-292, 747
-294, 749
-292, 747
-294, 749
-291, 746
-293, 748
-290, 745
-292, 747
-291, 746
-293, 748
-291, 746
-293, 748
-291, 746
-294, 749
-292, 747
-295, 750
-292, 747
-295, 750
-293, 748
-296, 751
-294, 749
-297, 752
-296, 751
-298, 753
-297, 752
-300, 755
-300, 755
-301, 756
-300, 755
-303, 758
-300, 755
-303, 758
-301, 756
-304, 759
-302, 757
-304, 759
-302, 757
-305, 760
-303, 758
-305, 760
-304, 759
-306, 761
-304, 759
-306, 761
-299, 754
-304, 759
-296, 751
-284, 739
-256, 711
-216, 671
-192, 647
-142, 597
-88, 543
-45, 500
-6, 461
28, 427
62, 393
92, 363
111, 344
106, 349
69, 386
8, 447
-50, 505
-100, 555
-138, 593
-169, 624
-193, 648
-216, 671
-232, 687
-248, 703
-257, 712
-269, 724
-274, 729
-283, 738
-286, 741
-292, 747
-293, 748
-298, 753
-299, 754
-304, 759
-304, 759
-307, 762
-305, 760
-309, 764
-307, 762
-309, 764
-306, 761
-309, 764
-306, 761
-309, 764
-305, 760
-308, 763
-304, 759
-306, 761
-304, 759
-306, 761
-303, 758
-306, 761
-303, 758
-305, 760
-303, 758
-305, 760
-303, 758
-306, 761
-303, 758
-306, 761
-303, 758
-306, 761
-304, 759
-308, 763
-306, 761
-309, 764
-307, 762
-310, 765
-308, 763
-311, 766
-309, 764
-312, 767
-310, 765
-312, 767
-310, 765
-313, 768
-311, 766
-313, 768
-312, 767
-313, 768
-312, 767
-314, 769
-312, 767
-315, 770
-313, 768
-315, 770
-309, 764
-309, 764
-298, 753
-278, 733
-244, 699
-189, 644
-178, 633
-121, 576
-69, 524
-29, 484
10, 445
43, 412
75, 380
103, 352
115, 340
97, 358
45, 410
-24, 479
-75, 530
-121, 576
-156, 611
-187, 642
-211, 666
-233, 688
-247, 702
-260, 715
-271, 726
-282, 737
-286, 741
-294, 749
-296, 751
-302, 757
-304, 759
-308, 763
-309, 764
-313, 768
-312, 767
-315, 770
-314, 769
-317, 772
-316, 771
-318, 773
-316, 771
-318, 773
-314, 769
-317, 772
-314, 769
-315, 770
-314, 769
-316, 771
-313, 768
-315, 770
-312, 767
-314, 769
-312, 767
-314, 769
-312, 767
-314, 769
-312, 767
-314, 769
-313, 768
-316, 771
-314, 769
-317, 772
-315, 770
-318, 773
-315, 770
-319, 774
