--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
 voltage, error, cum_error, rate_error, correction, OCR1A
278, 177, 1770, 17, 7, 16
277, 178, 4796, 0, 7, 23
274, 181, 9683, 0, 7, 30
273, 182, 14597, 0, 7, 37
271, 184, 19749, 0, 7, 44
269, 186, 25143, 0, 7, 51
267, 188, 30219, 0, 7, 58
266, 189, 35511, 0, 7, 65
266, 189, 40992, 0, 7, 72
266, 189, 46095, 0, 7, 79
266, 189, 51576, 0, 7, 86
267, 188, 56840, 153391689, 3067841, 93
269, 186, 64838, 99882960, 1997666, 30
263, 192, 72710, 0, 7, 384
335, 120, 76190, 148102318, 2962051, 391
364, 91, 80194, 97612892, 1952261, 10
316, 139, 85754, 1, 5, 15
313, 142, 89872, 0, 5, 20
311, 144, 93904, 0, 5, 25
308, 147, 97873, 0, 5, 30
306, 149, 102194, 0, 5, 35
303, 152, 106602, 0, 6, 40
301, 154, 111068, 0, 6, 46
300, 155, 115563, 0, 6, 52
296, 159, 120333, 0, 6, 58
295, 160, 124813, 0, 6, 64
294, 161, 129482, 0, 6, 70
293, 162, 134342, 0, 6, 76
292, 163, 138906, 0, 6, 82
292, 163, 143796, 0, 6, 88
293, 162, 148494, 148102320, 2962052, 94
295, 160, 155534, 97612893, 1952264, 226
334, 121, 160737, 99882959, 1997664, 234
356, 99, 165093, 97612892, 1952261, 74
336, 119, 170091, 0, 4, 79
334, 121, 173479, 0, 4, 83
333, 122, 177139, 0, 4, 87
332, 123, 180706, 0, 4, 91
332, 123, 184396, 0, 4, 95
332, 123, 187840, 0, 4, 99
332, 123, 191407, 0, 4, 103
332, 123, 195220, 0, 4, 107
337, 118, 198642, 148102320, 2962051, 111
335, 120, 204042, 0, 4, 242
369, 86, 206622, 143165575, 2863314, 246
389, 66, 209526, 97612892, 1952260, 456
437, 18, 210300, 99882959, 1997659, 460
448, 7, 210594, 102261125, 2045222, 295
444, 11, 211067, 0, 0, 77
416, 39, 212159, 1, 1, 77
413, 42, 213335, 0, 1, 78
410, 45, 214595, 0, 1, 79
407, 48, 215987, 0, 1, 80
405, 50, 217337, 0, 2, 81
402, 53, 218874, 0, 2, 83
400, 55, 220414, 0, 2, 85
398, 57, 221953, 0, 2, 87
396, 59, 223664, 0, 2, 89
394, 61, 225372, 0, 2, 91
393, 62, 227108, 0, 2, 93
391, 64, 228900, 0, 2, 95
390, 65, 230720, 0, 2, 97
388, 67, 232596, 0, 2, 99
387, 68, 234500, 0, 2, 101
387, 68, 236540, 0, 2, 103
386, 69, 238472, 0, 2, 105
385, 70, 240572, 0, 2, 107
384, 71, 242631, 0, 2, 109
384, 71, 244690, 0, 2, 111
382, 73, 246807, 0, 2, 113
388, 67, 248750, 148102320, 2962049, 115
385, 70, 251830, 0, 2, 244
413, 42, 253006, 153391688, 3067835, 246
431, 24, 254062, 97612892, 1952258, 177
427, 28, 255266, 0, 1, 179
431, 24, 255962, 148102320, 2962047, 180
437, 18, 256754, 97612892, 1952258, 307
478, -23, 255765, 99882959, 1997658, 309
497, -42, 253959, 99882959, 1997657, 143
476, -21, 253035, 0, 0, 488
532, -77, 250725, 143165574, 2863308, 488
539, -84, 246945, 95443717, 1908871, 180
500, -45, 244965, 0, -1, 315
530, -75, 242640, 138547331, 2770943, 314
546, -91, 238545, 95443717, 1908870, 313
561, -106, 233987, 99882960, 1997654, 447
597, -142, 227597, 95443716, 1908868, 277
572, -117, 222332, 0, -4, 409
613, -158, 217276, 134217726, 2684348, 405
616, -161, 209870, 93368854, 1867370, 337
611, -156, 202850, 0, -6, 443
641, -186, 196898, 134217727, 2684347, 437
646, -191, 188112, 93368854, 1867369, 368
633, -178, 180280, 0, -7, 473
661, -206, 173688, 134217727, 2684346, 466
665, -210, 163818, 91382282, 1827637, 396
667, -212, 154490, 97612893, 1952249, 193
628, -173, 146705, 0, -6, 186
625, -170, 141435, 0, -6, 180
625, -170, 135825, 0, -6, 174
621, -166, 130513, 0, -6, 168
620, -165, 125068, 0, -6, 162
615, -160, 120108, 0, -6, 156
614, -159, 114861, 0, -6, 150
609, -154, 109933, 0, -6, 144
607, -152, 104917, 0, -6, 138
601, -146, 100391, 0, -5, 132
599, -144, 95639, 0, -5, 127
594, -139, 91330, 0, -5, 122
577, -122, 87426, 0, -4, 117
586, -131, 83496, 143165576, 2863306, 113
577, -122, 78006, 0, -4, 315
610, -155, 73201, 138547331, 2770940, 311
624, -169, 65596, 95443717, 1908867, 307
635, -180, 57676, 97612892, 1952250, 438
669, -214, 48474, 99882959, 1997650, 432
673, -218, 38882, 97612893, 1952249, 258
639, -184, 30786, 0, -7, 251
642, -187, 24989, 138547332, 2770939, 244
643, -188, 16529, 95443717, 1908866, 239
646, -191, 8316, 99882960, 1997651, 369
680, -225, -1359, 99882959, 1997650, 196
651, -196, -9983, 0, -7, 22
632, -177, -15293, 0, -7, 15
626, -171, -20765, 0, -6, 8
621, -166, -25579, 0, -6, 2
616, -161, -30570, 0, -6, 508
684, -229, -37898, 134217725, 2684345, 502
677, -222, -48110, 0, -8, 431
687, -232, -55534, 134217727, 2684345, 423
690, -235, -66344, 93368854, 1867367, 352
677, -222, -76334, 0, -8, 455
704, -249, -84053, 138547331, 2770936, 447
708, -253, -95691, 93368854, 1867367, 439
705, -250, -106941, 0, -10, 30
641, -186, -113079, 1, -7, 20
635, -180, -118839, 0, -7, 13
629, -174, -124581, 0, -6, 6
623, -168, -129789, 0, -6, 0
620, -165, -134904, 0, -6, 506
678, -223, -142263, 130150522, 2603001, 500
686, -231, -153120, 91382282, 1827636, 493
692, -237, -164022, 93368854, 1867367, 289
663, -208, -173382, 0, -8, 392
698, -243, -181644, 126322566, 2526441, 384
700, -245, -193159, 91382282, 1827635, 105
652, -197, -202024, 1, -7, 412
710, -255, -210694, 126322565, 2526441, 405
710, -255, -222679, 0, -10, 126
648, -193, -229241, 1, -7, 116
645, -190, -235701, 0, -7, 109
639, -184, -241589, 0, -7, 102
632, -177, -247607, 0, -7, 95
627, -172, -253111, 0, -6, 88
620, -165, -258391, 0, -6, 82
614, -159, -263638, 0, -6, 76
608, -153, -268381, 0, -6, 70
603, -148, -273265, 0, -5, 64
597, -142, -277809, 0, -5, 59
592, -137, -282330, 0, -5, 54
586, -131, -286391, 0, -5, 49
581, -126, -290549, 0, -5, 44
575, -120, -294389, 0, -4, 39
570, -115, -298184, 0, -4, 35
564, -109, -301563, 0, -4, 31
560, -105, -305028, 0, -4, 27
555, -100, -308228, 0, -4, 23
550, -95, -311363, 0, -3, 19
545, -90, -314063, 0, -3, 16
540, -85, -316783, 0, -3, 13
535, -80, -319263, 0, -3, 10
531, -76, -321695, 0, -3, 7
527, -72, -323783, 0, -2, 4
522, -67, -325860, 0, -2, 2
517, -62, -327720, 0, -2, 0
513, -58, -329402, 0, -2, 510
585, -130, -333692, 130150521, 2603005, 508
581, -126, -339614, 0, -5, 505
576, -121, -343607, 0, -4, 500
584, -129, -347993, 126322567, 2526446, 496
590, -135, -354203, 93368854, 1867371, 222
557, -102, -358895, 0, -4, 329
586, -131, -363349, 126322566, 2526446, 325
598, -143, -369927, 93368854, 1867371, 51
563, -108, -374787, 0, -4, 158
571, -116, -378615, 130150523, 2603005, 154
567, -112, -383879, 0, -4, 151
565, -110, -387619, 0, -4, 147
562, -107, -391043, 0, -4, 143
559, -104, -394579, 0, -4, 139
557, -102, -397945, 0, -4, 135
554, -99, -401311, 0, -3, 131
552, -97, -404318, 0, -3, 128
547, -92, -407354, 0, -3, 125
546, -91, -410266, 0, -3, 122
541, -86, -413104, 0, -3, 119
535, -80, -415584, 0, -3, 116
534, -79, -418191, 0, -3, 113
529, -74, -420559, 0, -2, 110
526, -71, -422902, 0, -2, 108
523, -68, -425010, 0, -2, 106
519, -64, -427058, 0, -2, 104
516, -61, -429071, 0, -2, 102
512, -57, -430895, 0, -2, 100
508, -53, -432591, 0, -2, 98
505, -50, -434141, 0, -2, 96
501, -46, -435613, 0, -1, 94
497, -42, -436915, 0, -1, 93
494, -39, -438124, 0, -1, 92
490, -35, -439209, 0, -1, 91
486, -31, -440201, 0, -1, 90
483, -28, -441069, 0, -1, 89
479, -24, -441813, 0, 0, 88
476, -21, -442443, 0, 0, 88
473, -18, -443001, 0, 0, 88
469, -14, -443407, 0, 0, 88
466, -11, -443737, 0, 0, 88
463, -8, -443985, 0, 0, 88
460, -5, -444130, 0, 0, 88
457, -2, -444188, 0, 0, 88
454, 1, -444159, 0, 0, 88
452, 3, -444072, 0, 0, 88
449, 6, -443910, 0, 0, 88
446, 9, -443649, 0, 0, 88
443, 12, -443313, 0, 0, 88
441, 14, -442921, 0, 0, 88
438, 17, -442411, 0, 0, 88
436, 19, -441860, 0, 0, 88
433, 22, -441222, 0, 0, 88
430, 25, -440497, 0, 1, 88
428, 27, -439687, 0, 1, 89
426, 29, -438875, 0, 1, 90
424, 31, -437976, 0, 1, 91
421, 34, -436956, 0, 1, 92
419, 36, -435948, 0, 1, 93
417, 38, -434808, 0, 1, 94
416, 39, -433677, 0, 1, 95
414, 41, -432488, 0, 1, 96
412, 43, -431241, 0, 1, 97
410, 45, -429891, 0, 1, 98
409, 46, -428603, 0, 1, 99
407, 48, -427211, 0, 1, 100
406, 49, -425692, 0, 1, 101
404, 51, -424162, 0, 2, 102
404, 51, -422632, 0, 2, 104
402, 53, -421042, 0, 2, 106
401, 54, -419368, 0, 2, 108
401, 54, -417802, 0, 2, 110
402, 53, -416159, 138547332, 2770948, 112
400, 55, -413739, 0, 2, 116
402, 53, -412096, 138547332, 2770948, 118
400, 55, -409676, 0, 2, 122
402, 53, -408033, 138547332, 2770948, 124
401, 54, -405657, 0, 2, 128
404, 51, -404127, 143165576, 2863313, 130
404, 51, -401832, 0, 2, 339
455, 0, -401832, 143165574, 2863311, 341
481, -26, -402976, 97612892, 1952256, 36
440, 15, -402331, 0, 0, 36
436, 19, -401761, 0, 0, 36
433, 22, -401123, 0, 0, 36
429, 26, -400369, 0, 1, 36
425, 30, -399499, 0, 1, 37
421, 34, -398479, 0, 1, 38
418, 37, -397443, 0, 1, 39
414, 41, -396254, 0, 1, 40
410, 45, -394904, 0, 1, 41
407, 48, -393560, 0, 1, 42
405, 50, -392060, 0, 2, 43
401, 54, -390494, 0, 2, 45
