--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
 voltage, error, delta_t, cum_error, rate_error, correction, OCR1A
30, 425, 10, 4250, 42, 17, 16
31, 424, 21, 13154, 0, 16, 33
38, 417, 33, 26915, 0, 16, 49
50, 405, 32, 39875, 0, 16, 65
63, 392, 33, 52811, 0, 15, 81
80, 375, 31, 64436, 0, 15, 96
98, 357, 33, 76217, 0, 14, 111
119, 336, 33, 87305, 0, 13, 125
138, 317, 35, 98400, 0, 12, 138
160, 295, 34, 108430, 0, 11, 150
182, 273, 35, 117985, 0, 10, 161
204, 251, 35, 126770, 0, 10, 171
225, 230, 36, 135050, 0, 9, 181
244, 211, 34, 142224, 0, 8, 190
265, 190, 35, 148874, 0, 7, 198
282, 173, 34, 154756, 0, 6, 205
301, 154, 34, 159992, 0, 6, 211
316, 139, 34, 164718, 0, 5, 217
334, 121, 35, 168953, 0, 4, 222
349, 106, 34, 172557, 0, 4, 226
365, 90, 35, 175707, 0, 3, 230
379, 76, 32, 178139, 0, 3, 233
393, 62, 34, 180247, 0, 2, 236
406, 49, 33, 181864, 0, 1, 238
418, 37, 34, 183122, 0, 1, 239
429, 26, 32, 183954, 0, 1, 240
440, 15, 34, 184464, 0, 0, 241
451, 4, 33, 184596, 0, 0, 241
459, -4, 33, 184464, 0, 0, 241
468, -13, 33, 184035, 0, 0, 241
479, -24, 34, 183219, 0, 0, 241
486, -31, 34, 182165, 0, -1, 241
494, -39, 36, 180761, 0, -1, 240
502, -47, 35, 179116, 0, -1, 239
510, -55, 36, 177136, 0, -2, 238
517, -62, 34, 175028, 0, -2, 236
524, -69, 36, 172544, 0, -2, 234
530, -75, 36, 169844, 0, -3, 232
536, -81, 35, 167009, 0, -3, 229
541, -86, 36, 163913, 0, -3, 226
545, -90, 35, 160763, 0, -3, 223
549, -94, 35, 157473, 0, -3, 220
553, -98, 35, 154043, 0, -3, 217
556, -101, 36, 150407, 0, -4, 214
561, -106, 36, 146591, 0, -4, 210
562, -107, 37, 142632, 0, -4, 206
566, -111, 36, 138636, 0, -4, 202
566, -111, 37, 134529, 0, -4, 198
569, -114, 35, 130539, 0, -4, 194
569, -114, 37, 126321, 0, -4, 190
571, -116, 37, 122029, 0, -4, 186
570, -115, 36, 117889, 0, -4, 182
571, -116, 37, 113597, 0, -4, 178
569, -114, 36, 109493, 0, -4, 174
570, -115, 36, 105353, 0, -4, 170
568, -113, 36, 101285, 0, -4, 166
568, -113, 37, 97104, 0, -4, 162
567, -112, 35, 93184, 0, -4, 158
565, -110, 36, 89224, 0, -4, 154
563, -108, 35, 85444, 0, -4, 150
561, -106, 36, 81628, 0, -4, 146
558, -103, 34, 78126, 0, -4, 142
555, -100, 36, 74526, 0, -4, 138
552, -97, 36, 71034, 0, -3, 134
548, -93, 34, 67872, 0, -3, 131
546, -91, 35, 64687, 0, -3, 128
541, -86, 33, 61849, 0, -3, 125
540, -85, 35, 58874, 0, -3, 122
535, -80, 34, 56154, 0, -3, 119
529, -74, 35, 53564, 0, -2, 116
528, -73, 34, 51082, 0, -2, 114
530, -75, 34, 48532, 0, -3, 112
521, -66, 34, 46288, 0, -2, 109
517, -62, 35, 44118, 0, -2, 107
513, -58, 34, 42146, 0, -2, 105
510, -55, 35, 40221, 0, -2, 103
505, -50, 33, 38571, 0, -2, 101
502, -47, 35, 36926, 0, -1, 99
498, -43, 33, 35507, 0, -1, 98
495, -40, 34, 34147, 0, -1, 97
491, -36, 33, 32959, 0, -1, 96
487, -32, 33, 31903, 0, -1, 95
484, -29, 33, 30946, 0, -1, 94
480, -25, 34, 30096, 0, -1, 93
477, -22, 33, 29370, 0, 0, 92
473, -18, 32, 28794, 0, 0, 92
470, -15, 32, 28314, 0, 0, 92
467, -12, 33, 27918, 0, 0, 92
464, -9, 32, 27630, 0, 0, 92
461, -6, 31, 27444, 0, 0, 92
458, -3, 31, 27351, 0, 0, 92
455, 0, 32, 27351, 0, 0, 92
452, 3, 30, 27441, 0, 0, 92
449, 6, 30, 27621, 0, 0, 92
446, 9, 30, 27891, 0, 0, 92
444, 11, 30, 28221, 0, 0, 92
441, 14, 31, 28655, 0, 0, 92
438, 17, 31, 29182, 0, 0, 92
436, 19, 32, 29790, 0, 0, 92
433, 22, 31, 30472, 0, 0, 92
431, 24, 31, 31216, 0, 0, 92
428, 27, 31, 32053, 0, 1, 92
426, 29, 32, 32981, 0, 1, 93
424, 31, 31, 33942, 0, 1, 94
422, 33, 31, 34965, 0, 1, 95
420, 35, 31, 36050, 0, 1, 96
418, 37, 32, 37234, 0, 1, 97
416, 39, 31, 38443, 0, 1, 98
414, 41, 31, 39714, 0, 1, 99
413, 42, 31, 41016, 0, 1, 100
410, 45, 32, 42456, 0, 1, 101
409, 46, 33, 43974, 0, 1, 102
408, 47, 31, 45431, 0, 1, 103
407, 48, 33, 47015, 0, 1, 104
405, 50, 32, 48615, 0, 2, 105
404, 51, 33, 50298, 0, 2, 107
403, 52, 31, 51910, 0, 2, 109
408, 47, 33, 53461, 0, 1, 111
402, 53, 32, 55157, 0, 2, 112
400, 55, 33, 56972, 0, 2, 114
401, 54, 31, 58646, 0, 2, 116
403, 52, 33, 60362, 0, 2, 118
401, 54, 32, 62090, 0, 2, 120
403, 52, 33, 63806, 0, 2, 122
402, 53, 31, 65449, 0, 2, 124
404, 51, 33, 67132, 0, 2, 126
403, 52, 32, 68796, 0, 2, 128
406, 49, 33, 70413, 0, 1, 130
405, 50, 31, 71963, 0, 2, 131
408, 47, 33, 73514, 0, 1, 133
407, 48, 32, 75050, 0, 1, 134
410, 45, 33, 76535, 0, 1, 135
410, 45, 31, 77930, 0, 1, 136
412, 43, 33, 79349, 0, 1, 137
412, 43, 32, 80725, 0, 1, 138
415, 40, 33, 82045, 0, 1, 139
415, 40, 31, 83285, 0, 1, 140
418, 37, 33, 84506, 0, 1, 141
418, 37, 32, 85690, 0, 1, 142
420, 35, 33, 86845, 0, 1, 143
422, 33, 31, 87868, 0, 1, 144
425, 30, 32, 88828, 0, 1, 145
425, 30, 33, 89818, 0, 1, 146
428, 27, 32, 90682, 0, 1, 147
428, 27, 32, 91546, 0, 1, 148
432, 23, 32, 92282, 0, 0, 149
432, 23, 33, 93041, 0, 0, 149
435, 20, 32, 93681, 0, 0, 149
435, 20, 32, 94321, 0, 0, 149
438, 17, 32, 94865, 0, 0, 149
438, 17, 33, 95426, 0, 0, 149
441, 14, 32, 95874, 0, 0, 149
441, 14, 32, 96322, 0, 0, 149
444, 11, 32, 96674, 0, 0, 149
444, 11, 33, 97037, 0, 0, 149
447, 8, 32, 97293, 0, 0, 149
448, 7, 31, 97510, 0, 0, 149
449, 6, 31, 97696, 0, 0, 149
450, 5, 32, 97856, 0, 0, 149
451, 4, 31, 97980, 0, 0, 149
453, 2, 31, 98042, 0, 0, 149
454, 1, 31, 98073, 0, 0, 149
455, 0, 32, 98073, 0, 0, 149
456, -1, 31, 98042, 0, 0, 149
455, 0, 32, 98042, 0, 0, 149
456, -1, 31, 98011, 0, 0, 149
459, -4, 32, 97883, 0, 0, 149
458, -3, 33, 97784, 0, 0, 149
461, -6, 31, 97598, 0, 0, 149
460, -5, 33, 97433, 0, 0, 149
462, -7, 32, 97209, 0, 0, 149
462, -7, 33, 96978, 0, 0, 149
464, -9, 31, 96699, 0, 0, 149
463, -8, 33, 96435, 0, 0, 149
466, -11, 32, 96083, 0, 0, 149
466, -11, 34, 95709, 0, 0, 149
467, -12, 32, 95325, 0, 0, 149
468, -13, 34, 94883, 0, 0, 149
468, -13, 33, 94454, 0, 0, 149
469, -14, 34, 93978, 0, 0, 149
470, -15, 33, 93483, 0, 0, 149
470, -15, 33, 92988, 0, 0, 149
471, -16, 33, 92460, 0, 0, 149
472, -17, 34, 91882, 0, 0, 149
472, -17, 33, 91321, 0, 0, 149
473, -18, 33, 90727, 0, 0, 149
473, -18, 33, 90133, 0, 0, 149
474, -19, 34, 89487, 0, 0, 149
474, -19, 33, 88860, 0, 0, 149
475, -20, 34, 88180, 0, 0, 149
475, -20, 32, 87540, 0, 0, 149
476, -21, 34, 86826, 0, 0, 149
476, -21, 33, 86133, 0, 0, 149
477, -22, 34, 85385, 0, 0, 149
477, -22, 32, 84681, 0, 0, 149
478, -23, 34, 83899, 0, 0, 149
478, -23, 33, 83140, 0, 0, 149
479, -24, 34, 82324, 0, 0, 149
479, -24, 33, 81532, 0, 0, 149
480, -25, 33, 80707, 0, -1, 149
478, -23, 34, 79925, 0, 0, 148
478, -23, 34, 79143, 0, 0, 148
479, -24, 33, 78351, 0, 0, 148
479, -24, 34, 77535, 0, 0, 148
479, -24, 32, 76767, 0, 0, 148
480, -25, 34, 75917, 0, -1, 148
481, -26, 34, 75033, 0, -1, 147
480, -25, 35, 74158, 0, -1, 146
481, -26, 34, 73274, 0, -1, 145
480, -25, 34, 72424, 0, -1, 144
481, -26, 34, 71540, 0, -1, 143
479, -24, 35, 70700, 0, 0, 142
479, -24, 33, 69908, 0, 0, 142
479, -24, 33, 69116, 0, 0, 142
478, -23, 33, 68357, 0, 0, 142
478, -23, 34, 67575, 0, 0, 142
478, -23, 33, 66816, 0, 0, 142
478, -23, 34, 66034, 0, 0, 142
478, -23, 32, 65298, 0, 0, 142
478, -23, 34, 64516, 0, 0, 142
478, -23, 33, 63757, 0, 0, 142
477, -22, 34, 63009, 0, 0, 142
477, -22, 32, 62305, 0, 0, 142
477, -22, 34, 61557, 0, 0, 142
477, -22, 33, 60831, 0, 0, 142
477, -22, 34, 60083, 0, 0, 142
477, -22, 33, 59357, 0, 0, 142
476, -21, 33, 58664, 0, 0, 142
476, -21, 33, 57971, 0, 0, 142
476, -21, 34, 57257, 0, 0, 142
476, -21, 33, 56564, 0, 0, 142
476, -21, 34, 55850, 0, 0, 142
476, -21, 32, 55178, 0, 0, 142
476, -21, 34, 54464, 0, 0, 142
475, -20, 33, 53804, 0, 0, 142
475, -20, 34, 53124, 0, 0, 142
475, -20, 32, 52484, 0, 0, 142
475, -20, 34, 51804, 0, 0, 142
475, -20, 33, 51144, 0, 0, 142
475, -20, 34, 50464, 0, 0, 142
475, -20, 33, 49804, 0, 0, 142
475, -20, 33, 49144, 0, 0, 142
475, -20, 33, 48484, 0, 0, 142
475, -20, 34, 47804, 0, 0, 142
474, -19, 33, 47177, 0, 0, 142
474, -19, 33, 46550, 0, 0, 142
474, -19, 33, 45923, 0, 0, 142
474, -19, 34, 45277, 0, 0, 142
474, -19, 33, 44650, 0, 0, 142
474, -19, 34, 44004, 0, 0, 142
474, -19, 32, 43396, 0, 0, 142
474, -19, 34, 42750, 0, 0, 142
474, -19, 33, 42123, 0, 0, 142
