--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
delta, voltage
409, 409, 46
182, 182, 273
90, 90, 365
92, 92, 363
112, 112, 343
109, 109, 346
70, 70, 385
21, 21, 434
-18, 18, -48, 48, -76, 76, -100, 100, -109, 109, -125, 125, -130, 130, -142, 142, -147, 147, -156, 156, -165, 165, -172, 172, -169, 169, -173, 173, -175, 175, -177, 177, -180, 180, -184, 184, -186, 186, -190, 190, -185, 185, -193, 193, -187, 187, -194, 194, -189, 189, -196, 196, -190, 190, -197, 197, -191, 191, -189, 189, -192, 192, -198, 198, -192, 192, -199, 199, -193, 193, -200, 200, -193, 193, -200, 200, -194, 194, -200, 200, -194, 194, -200, 200, -194, 194, -201, 201, -194, 194, -201, 201, -195, 195, -201, 201, -195, 195, -201, 201, -195, 195, -202, 202, -195, 195, -202, 202, -196, 196, -202, 202, -196, 196, -202, 202, -196, 196, -202, 202, -196, 196, -202, 202, -197, 197, -203, 203, -200, 200, -203, 203, -197, 197, -203, 203, -197, 197, -203, 203, -197, 197, -203, 203, -197, 197, -203, 203, -197, 197, -204, 204, -197, 197, -203, 203, -198, 198, -204, 204, -198, 198, -204, 204, -198, 198, -204, 204, -198, 198, -205, 205, -198, 198, -204, 204, -198, 198, -205, 205, -198, 198, -205, 205, -198, 198, -196, 196, -199, 199, -205, 205, -199, 199, -205, 205, -199, 199, -205, 205, -199, 199, -205, 205, -199, 199, -205, 205, -200, 200, -206, 206, -200, 200, -206, 206, -199, 199, -206, 206, -200, 200, -206, 206, -200, 200, -206, 206, -200, 200, -206, 206, -200, 200, -206, 206, -200, 200, -206, 206, -201, 201, -207, 207, -200, 200, -207, 207, -200, 200, -207, 207, -201, 201, -207, 207, -204, 204, -207, 207, -201, 201, -207, 207, -201, 201, -208, 208, -201, 201, -207, 207, -201, 201, -208, 208, -201, 201, -207, 207, -201, 201, -208, 208, -201, 201, -207, 207, -201, 201, -208, 208, -202, 202, -208, 208, -202, 202, -208, 208, -202, 202, -208, 208, -202, 202, -208, 208, -202, 202, -209, 209, -202, 202, -200, 200, -202, 202, -208, 208, -202, 202, -209, 209, -202, 202, -209, 209, -202, 202, -209, 209, -203, 203, -209, 209, -202, 202, -209, 209, -202, 202, -209, 209, -203, 203, -209, 209, -203, 203, -209, 209, -203, 203, -209, 209, -203, 203, -210, 210, -203, 203, -210, 210, -203, 203, -209, 209, -203, 203, -210, 210, -203, 203, -210, 210, -204, 204, -210, 210, -204, 204, -210, 210, -207, 207, -210, 210, -203, 203, -210, 210, -204, 204, -210, 210, -204, 204, -210, 210, -204, 204, -210, 210, -204, 204, -211, 211, -204, 204, -210, 210, -204, 204, -210, 210, -204, 204, -211, 211, -204, 204, -211, 211, -205, 205, -211, 211, -205, 205, -211, 211, -205, 205, -211, 211, -204, 204, -211, 211, -205, 205, -203, 203, -205, 205, -211, 211, -205, 205, -211, 211, -205, 205, -211, 211, -205, 205, -211, 211, -205, 205, -212, 212, -205, 205, -212, 212, -205, 205, -212, 212, -205, 205, -211, 211, -206, 206, -212, 212, -206, 206, -212, 212, -205, 205, -212, 212, -206, 206, -212, 212, -206, 206, -212, 212, -206, 206, -212, 212, -206, 206, -213, 213, -206, 206, -212, 212, -206, 206, -213, 213, -209, 209, -213, 213, -206, 206, -213, 213, -206, 206, -212, 212, -206, 206, -213, 213, -206, 206, -213, 213, -206, 206, -213, 213, -206, 206, -213, 213, -207, 207, -213, 213, -207, 207, -213, 213, -208, 208, -214, 214, -208, 208, -214, 214, -209, 209, -215, 215, -209, 209, -215, 215, -209, 209, -215, 215, -209, 209, -206, 206, -208, 208, -214, 214, -204, 204, -230, 230, -178, 178, -137, 137, -92, 92, -67, 67, -34, 34, -7, 7, 12, 12, 443
38, 38, 417
