--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
delta, abs_delta, voltage, pwm_delta
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 408, 408, 306, 47
399, 399, 299, 56
88, 88, 66, 367
89, 89, 66, 366
78, 78, 58, 377
26, 26, 19, 429
-40, 40, -30, 495
-89, 89, -66, 544
-114, 114, -85, 569
-103, 103, -77, 558
-54, 54, -40, 509
-8, 8, -2, 463
55, 55, 41, 400
107, 107, 80, 348
144, 144, 108, 311
130, 130, 97, 325
45, 45, 33, 410
-27, 27, -20, 482
-85, 85, -63, 540
-118, 118, -88, 573
-139, 139, -104, 594
-111, 111, -83, 566
-52, 52, -39, 507
8, 8, 2, 447
-30, 30, -22, 485
-89, 89, -66, 544
-131, 131, -98, 586
-154, 154, -115, 609
-170, 170, -127, 625
-129, 129, -96, 584
-72, 72, -54, 527
-92, 92, -69, 547
-135, 135, -101, 590
-156, 156, -117, 611
-148, 148, -111, 603
-94, 94, -70, 549
-38, 38, -28, 493
-75, 75, -56, 530
-119, 119, -89, 574
-147, 147, -110, 602
-164, 164, -123, 619
-123, 123, -92, 578
-65, 65, -48, 520
-94, 94, -70, 549
-131, 131, -98, 586
-138, 138, -103, 593
-155, 155, -116, 610
-108, 108, -81, 563
-47, 47, -35, 502
-83, 83, -62, 538
-125, 125, -93, 580
-158, 158, -118, 613
-165, 165, -123, 620
-118, 118, -88, 573
-58, 58, -43, 513
-90, 90, -67, 545
-129, 129, -96, 584
-137, 137, -102, 592
-155, 155, -116, 610
-108, 108, -81, 563
-47, 47, -35, 502
-84, 84, -63, 539
-127, 127, -95, 582
-161, 161, -120, 616
-164, 164, -123, 619
-116, 116, -87, 571
-56, 56, -42, 511
-89, 89, -66, 544
-130, 130, -97, 585
-151, 151, -113, 606
-154, 154, -115, 609
-103, 103, -77, 558
-41, 41, -30, 496
-82, 82, -61, 537
-125, 125, -93, 580
-161, 161, -120, 616
-164, 164, -123, 619
-116, 116, -87, 571
-56, 56, -42, 511
-90, 90, -67, 545
-131, 131, -98, 586
-157, 157, -117, 612
-156, 156, -117, 611
-101, 101, -75, 556
-38, 38, -28, 493
-80, 80, -60, 535
-125, 125, -93, 580
-162, 162, -121, 617
-163, 163, -122, 618
-114, 114, -85, 569
-53, 53, -39, 508
-89, 89, -66, 544
-131, 131, -98, 586
-156, 156, -117, 611
-157, 157, -117, 612
-103, 103, -77, 558
-40, 40, -30, 495
-83, 83, -62, 538
-128, 128, -96, 583
-169, 169, -126, 624
-162, 162, -121, 617
-109, 109, -81, 564
-46, 46, -34, 501
-86, 86, -64, 541
-130, 130, -97, 585
-142, 142, -106, 597
-159, 159, -119, 614
-107, 107, -80, 562
-48, 48, -36, 503
-88, 88, -66, 543
-132, 132, -99, 587
-161, 161, -120, 616
-162, 162, -121, 617
-110, 110, -82, 565
-47, 47, -35, 502
-87, 87, -65, 542
-132, 132, -99, 587
-157, 157, -117, 612
-158, 158, -118, 613
-103, 103, -77, 558
-40, 40, -30, 495
-84, 84, -63, 539
-130, 130, -97, 585
-161, 161, -120, 616
-161, 161, -120, 616
-110, 110, -82, 565
-47, 47, -35, 502
-88, 88, -66, 543
-133, 133, -99, 588
-159, 159, -119, 614
-159, 159, -119, 614
-104, 104, -78, 559
-40, 40, -30, 495
-85, 85, -63, 540
-131, 131, -98, 586
-165, 165, -123, 620
-161, 161, -120, 616
-105, 105, -78, 560
-42, 42, -31, 497
-86, 86, -64, 541
-132, 132, -99, 587
-162, 162, -121, 617
-160, 160, -120, 615
-105, 105, -78, 560
-40, 40, -30, 495
-86, 86, -64, 541
-132, 132, -99, 587
-163, 163, -122, 618
-160, 160, -120, 615
-105, 105, -78, 
