--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
voltage, v_delta, correction, OCR1A
228, 227, 9, 16
228, 227, 9, 25
227, 228, 9, 34
226, 229, 9, 43
226, 229, 9, 52
226, 229, 9, 61
226, 229, 9, 70
227, 228, 9, 79
228, 227, 9, 88
230, 225, 9, 97
232, 223, 8, 106
236, 219, 8, 114
239, 216, 8, 122
244, 211, 8, 130
250, 205, 8, 138
255, 200, 8, 146
262, 193, 7, 154
270, 185, 7, 161
277, 178, 7, 168
284, 171, 6, 175
292, 163, 6, 181
300, 155, 6, 187
308, 147, 5, 193
316, 139, 5, 198
324, 131, 5, 203
332, 123, 4, 208
340, 115, 4, 212
348, 107, 4, 216
356, 99, 3, 220
366, 89, 3, 223
372, 83, 3, 226
381, 74, 2, 229
386, 69, 2, 231
395, 60, 2, 233
400, 55, 2, 235
409, 46, 1, 237
414, 41, 1, 238
422, 33, 1, 239
427, 28, 1, 240
435, 20, 0, 241
439, 16, 0, 242
446, 9, 0, 243
452, 3, 0, 244
457, -2, 0, 244
460, -5, 0, 244
468, -13, 0, 243
474, -19, 0, 242
479, -24, 0, 241
484, -29, -1, 240
486, -31, -1, 239
493, -38, -1, 238
496, -41, -1, 237
502, -47, -1, 236
504, -49, -1, 235
511, -56, -2, 234
513, -58, -2, 233
518, -63, -2, 232
520, -65, -2, 231
525, -70, -2, 230
526, -71, -2, 229
532, -77, -3, 228
533, -78, -3, 227
538, -83, -3, 226
539, -84, -3, 225
543, -88, -3, 224
544, -89, -3, 223
549, -94, -3, 222
549, -94, -3, 221
554, -99, -3, 220
553, -98, -3, 219
558, -103, -4, 218
560, -105, -4, 217
562, -107, -4, 216
564, -109, -4, 215
566, -111, -4, 214
568, -113, -4, 213
569, -114, -4, 212
571, -116, -4, 211
572, -117, -4, 210
574, -119, -4, 209
575, -120, -4, 208
577, -122, -4, 207
575, -120, -4, 206
579, -124, -4, 205
580, -125, -5, 204
581, -126, -5, 203
582, -127, -5, 202
583, -128, -5, 201
584, -129, -5, 200
585, -130, -5, 199
586, -131, -5, 198
586, -131, -5, 197
587, -132, -5, 196
588, -133, -5, 195
588, -133, -5, 194
589, -134, -5, 193
589, -134, -5, 192
589, -134, -5, 191
587, -132, -5, 190
590, -135, -5, 189
590, -135, -5, 188
590, -135, -5, 187
590, -135, -5, 186
590, -135, -5, 185
590, -135, -5, 184
590, -135, -5, 183
590, -135, -5, 182
590, -135, -5, 181
590, -135, -5, 180
590, -135, -5, 179
589, -134, -5, 178
589, -134, -5, 177
589, -134, -5, 176
588, -133, -5, 175
586, -131, -5, 174
588, -133, -5, 173
587, -132, -5, 172
587, -132, -5, 171
586, -131, -5, 170
585, -130, -5, 169
585, -130, -5, 168
584, -129, -5, 167
583, -128, -5, 166
583, -128, -5, 165
582, -127, -5, 164
581, -126, -5, 163
581, -126, -5, 162
580, -125, -5, 161
579, -124, -4, 160
578, -123, -4, 159
574, -119, -4, 158
576, -121, -4, 157
575, -120, -4, 156
574, -119, -4, 155
573, -118, -4, 154
572, -117, -4, 153
571, -116, -4, 152
570, -115, -4, 151
569, -114, -4, 150
567, -112, -4, 149
566, -111, -4, 148
565, -110, -4, 147
564, -109, -4, 146
563, -108, -4, 145
561, -106, -4, 144
560, -105, -4, 143
557, -102, -4, 142
557, -102, -4, 141
556, -101, -4, 140
555, -100, -4, 139
553, -98, -3, 138
550, -95, -3, 137
550, -95, -3, 136
547, -92, -3, 135
548, -93, -3, 134
544, -89, -3, 133
545, -90, -3, 132
541, -86, -3, 131
542, -87, -3, 130
538, -83, -3, 129
538, -83, -3, 128
535, -80, -3, 127
535, -80, -3, 126
531, -76, -3, 125
532, -77, -3, 124
528, -73, -2, 123
526, -71, -2, 122
525, -70, -2, 121
525, -70, -2, 120
521, -66, -2, 119
521, -66, -2, 118
518, -63, -2, 117
515, -60, -2, 116
514, -59, -2, 115
507, -52, -2, 114
510, -55, -2, 113
513, -58, -2, 112
506, -51, -2, 111
502, -47, -1, 110
503, -48, -1, 109
500, -45, -1, 108
499, -44, -1, 107
497, -42, -1, 106
495, -40, -1, 105
494, -39, -1, 104
491, -36, -1, 103
490, -35, -1, 102
488, -33, -1, 101
486, -31, -1, 100
483, -28, -1, 99
482, -27, -1, 98
480, -25, -1, 97
478, -23, 0, 96
476, -21, 0, 95
474, -19, 0, 94
473, -18, 0, 93
470, -15, 0, 92
469, -14, 0, 91
467, -12, 0, 90
465, -10, 0, 89
463, -8, 0, 88
461, -6, 0, 87
459, -4, 0, 86
458, -3, 0, 85
456, -1, 0, 85
454, 1, 0, 85
453, 2, 0, 85
451, 4, 0, 85
450, 5, 0, 86
448, 7, 0, 87
447, 8, 0, 88
445, 10, 0, 89
444, 11, 0, 90
442, 13, 0, 91
441, 14, 0, 92
440, 15, 0, 93
438, 17, 0, 94
437, 18, 0, 95
436, 19, 0, 96
435, 20, 0, 97
433, 22, 0, 98
432, 23, 0, 99
431, 24, 0, 100
431, 24, 0, 101
429, 26, 1, 102
429, 26, 1, 103
428, 27, 1, 104
427, 28, 1, 105
426, 29, 1, 106
425, 30, 1, 107
424, 31, 1, 108
423, 32, 1, 109
423, 32, 1, 110
425, 30, 1, 111
422, 33, 1, 112
418, 37, 1, 113
421, 34, 1, 114
425, 30, 1, 115
420, 35, 1, 116
408, 47, 1, 117
420, 35, 1, 118
422, 33, 1, 119
420, 35, 1, 120
422, 33, 1, 121
419, 36, 1, 122
422, 33, 1, 123
420, 35, 1, 124
422, 33, 1, 125
420, 35, 1, 126
422, 33, 1, 127
420, 35, 1, 128
422, 33, 1, 129
421, 34, 1, 130
423, 32, 1, 131
422, 33, 1, 132
424, 31, 1, 133
422, 33, 1, 134
425, 30, 1, 135
423, 32, 1, 136
426, 29, 1, 137
425, 30, 1, 138
427, 28, 1, 139
426, 29, 1, 140
429, 26, 1, 141
428, 27, 1, 142
431, 24, 0, 143
430, 25, 1, 144
432, 23, 0, 145
431, 24, 0, 146
434, 21, 0, 147
433, 22, 0, 148
436, 19, 0, 149
435, 20, 0, 150
438, 17, 0, 151
437, 18, 0, 152
441, 14, 0, 153
439, 16, 0, 154
443, 12, 0, 155
442, 13, 0, 156
445, 10, 0, 157
444, 11, 0, 158
448, 7, 0, 159
449, 6, 0, 160
450, 5, 0, 161
452, 3, 0, 162
453, 2, 0, 162
454, 1, 0, 162
455, 0, 0, 162
456, -1, 0, 162
456, -1, 0, 162
459, -4, 0, 162
458, -3, 0, 161
461, -6, 0, 161
460, -5, 0, 160
463, -8, 0, 159
462, -7, 0, 158
465, -10, 0, 157
466, -11, 0, 156
466, -11, 0, 155
467, -12, 0, 154
467, -12, 0, 153
468, -13, 0, 152
469, -14, 0, 151
469, -14, 0, 150
467, -12, 0, 149
470, -15, 0, 148
470, -15, 0, 147
470, -15, 0, 146
470, -15, 0, 145
470, -15, 0, 144
470, -15, 0, 143
470, -15, 0, 142
470, -15, 0, 141
470, -15, 0, 140
470, -15, 0, 139
470, -15, 0, 138
470, -15, 0, 137
469, -14, 0, 136
469, -14, 0, 135
469, -14, 0, 134
468, -13, 0, 133
468, -13, 0, 132
467, -12, 0, 131
467, -12, 0, 130
466, -11, 0, 129
465, -10, 0, 128
465, -10, 0, 127
464, -9, 0, 126
461, -6, 0, 125
460, -5, 0, 124
460, -5, 0, 123
461, -6, 0, 122
458, -3, 0, 121
460, -5, 0, 121
457, -2, 0, 120
458, -3, 0, 120
455, 0, 0, 120
455, 0, 0, 120
454, 1, 0, 120
453, 2, 0, 120
453, 2, 0, 120
452, 3, 0, 120
452, 3, 0, 120
451, 4, 0, 120
450, 5, 0, 121
450, 5, 0, 122
449, 6, 0, 123
449, 6, 0, 124
449, 6, 0, 125
449, 6, 0, 126
448, 7, 0, 127
448, 7, 0, 128
448, 7, 0, 129
448, 7, 0, 130
448, 7, 0, 131
448, 7, 0, 132
448, 7, 0, 133
448, 7, 0, 134
448, 7, 0, 135
448, 7, 0, 136
448, 7, 0, 137
449, 6, 0, 138
449, 6, 0, 139
449, 6, 0, 140
450, 5, 0, 141
450, 5, 0, 142
451, 4, 0, 143
451, 4, 0, 144
452, 3, 0, 145
452, 3, 0, 145
453, 2, 0, 145
453, 2, 0, 145
454, 1, 0, 145
454, 1, 0, 145
454, 1, 0, 145
454, 1, 0, 145
455, 0, 0, 145
455, 0, 0, 145
456, -1, 0, 145
458, -3, 0, 145
456, -1, 0, 145
459, -4, 0, 145
457, -2, 0, 144
459, -4, 0, 144
458, -3, 0, 143
460, -5, 0, 143
458, -3, 0, 142
460, -5, 0, 142
458, -3, 0, 141
461, -6, 0, 141
458, -3, 0, 140
461, -6, 0, 140
459, -4, 0, 139
461, -6, 0, 138
459, -4, 0, 137
460, -5, 0, 136
458, -3, 0, 135
460, -5, 0, 135
458, -3, 0, 134
460, -5, 0, 134
457, -2, 0, 133
459, -4, 0, 133
457, -2, 0, 132
457, -2, 0, 132
456, -1, 0, 132
458, -3, 0, 132
456, -1, 0, 132
458, -3, 0, 132
455, 0, 0, 132
455, 0, 0, 132
455, 0, 0, 132
455, 0, 0, 132
455, 0, 0, 132
454, 1, 0, 132
454, 1, 0, 132
454, 1, 0, 132
454, 1, 0, 132
454, 1, 0, 132
454, 1, 0, 132
453, 2, 0, 132
453, 2, 0, 132
453, 2, 0, 132
453, 2, 0, 132
453, 2, 0, 132
453, 2, 0, 132
452, 3, 0, 132
452, 3, 0, 132
452, 3, 0, 132
452, 3, 0, 132
452, 3, 0, 132
452, 3, 0, 132
452, 3, 0, 132
451, 4, 0, 132
451, 4, 0, 133
451, 4, 0, 134
451, 4, 0, 135
451, 4, 0, 136
452, 3, 0, 137
452, 3, 0, 137
452, 3, 0, 137
452, 3, 0, 137
452, 3, 0, 137
452, 3, 0, 137
452, 3, 0, 137
452, 3, 0, 137
452, 3, 0, 137
452, 3, 0, 137
452, 3, 0, 137
453, 2, 0, 137
453, 2, 0, 137
453, 2, 0, 137
453, 2, 0, 137
453, 2, 0, 137
453, 2, 0, 137
453, 2, 0, 137
453, 2, 0, 137
453, 2, 0, 137
453, 2, 0, 137
453, 2, 0, 137
453, 2, 0, 137
453, 2, 0, 137
453, 2, 0, 137
453, 2, 0, 137
453, 2, 0, 137
454, 1, 0, 137
453, 2, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
454, 1, 0, 137
455, 0, 0, 137
454, 1, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
455, 0, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
458, -3, 0, 137
456, -1, 0, 137
