--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
voltage, v_delta, correction
39, 416, 41
77, 378, 37
129, 326, 32
169, 286, 28
201, 254, 25
240, 215, 21
273, 182, 18
304, 151, 15
336, 119, 11
382, 73, 7
397, 58, 5
414, 41, 4
433, 22, 2
446, 9, 0
456, -1, 0
465, -10, 1
468, -13, 1
479, -24, 2
482, -27, 2
485, -30, 3
481, -26, 2
481, -26, 2
486, -31, 3
485, -30, 3
488, -33, 3
481, -26, 2
474, -19, 1
459, -4, 0
454, 1, 0
468, -13, 1
448, 7, 0
450, 5, 0
465, -10, 1
464, -9, 0
446, 9, 0
463, -8, 0
462, -7, 0
441, 14, 1
461, -6, 0
461, -6, 0
438, 17, 1
459, -4, 0
437, 18, 1
439, 16, 1
441, 14, 1
444, 11, 1
448, 7, 0
453, 2, 0
454, 1, 0
454, 1, 0
462, -7, 0
450, 5, 0
455, 0, 0
455, 0, 0
455, 0, 0
462, -7, 0
462, -7, 0
463, -8, 0
462, -7, 0
441, 14, 1
461, -6, 0
461, -6, 0
438, 17, 1
440, 15, 1
442, 13, 1
445, 10, 1
449, 6, 0
461, -6, 0
450, 5, 0
455, 0, 0
454, 1, 0
462, -7, 0
462, -7, 0
447, 8, 0
462, -7, 0
462, -7, 0
444, 11, 1
462, -7, 0
462, -7, 0
441, 14, 1
461, -6, 0
460, -5, 0
438, 17, 1
460, -5, 0
438, 17, 1
439, 16, 1
459, -4, 0
439, 16, 1
441, 14, 1
459, -4, 0
442, 13, 1
459, -4, 0
460, -5, 0
439, 16, 1
459, -4, 0
439, 16, 1
441, 14, 1
444, 11, 1
448, 7, 0
460, -5, 0
449, 6, 0
461, -6, 0
461, -6, 0
447, 8, 0
461, -6, 0
446, 9, 0
450, 5, 0
462, -7, 0
462, -7, 0
462, -7, 0
462, -7, 0
441, 14, 1
443, 12, 1
446, 9, 0
461, -6, 0
461, -6, 0
461, -6, 0
461, -6, 0
439, 16, 1
440, 15, 1
460, -5, 0
440, 15, 1
442, 13, 1
445, 10, 1
449, 6, 0
454, 1, 0
455, 0, 0
455, 0, 0
462, -7, 0
451, 4, 0
463, -8, 0
451, 4, 0
463, -8, 0
451, 4, 0
456, -1, 0
457, -2, 0
463, -8, 0
452, 3, 0
463, -8, 0
448, 7, 0
463, -8, 0
463, -8, 0
444, 11, 1
462, -7, 0
462, -7, 0
462, -7, 0
439, 16, 1
460, -5, 0
460, -5, 0
436, 19, 1
437, 18, 1
439, 16, 1
441, 14, 1
459, -4, 0
441, 14, 1
444, 11, 1
448, 7, 0
460, -5, 0
448, 7, 0
461, -6, 0
449, 6, 0
462, -7, 0
462, -7, 0
462, -7, 0
462, -7, 0
461, -6, 0
461, -6, 0
437, 18, 1
438, 17, 1
459, -4, 0
437, 18, 1
439, 16, 1
442, 13, 1
444, 11, 1
449, 6, 0
461, -6, 0
449, 6, 0
455, 0, 0
455, 0, 0
455, 0, 0
455, 0, 0
463, -8, 0
451, 4, 0
456, -1, 0
456, -1, 0
463, -8, 0
451, 4, 0
463, -8, 0
451, 4, 0
463, -8, 0
463, -8, 0
463, -8, 0
462, -7, 0
462, -7, 0
461, -6, 0
437, 18, 1
460, -5, 0
459, -4, 0
437, 18, 1
434, 21, 2
437, 18, 1
440, 15, 1
443, 12, 1
447, 8, 0
453, 2, 0
453, 2, 0
454, 1, 0
461, -6, 0
461, -6, 0
446, 9, 0
461, -6, 0
461, -6, 0
443, 12, 1
461, -6, 0
461, -6, 0
440, 15, 1
460, -5, 0
460, -5, 0
437, 18, 1
459, -4, 0
437, 18, 1
438, 17, 1
458, -3, 0
441, 14, 1
445, 10, 1
460, -5, 0
445, 10, 1
461, -6, 0
461, -6, 0
443, 12, 1
460, -5, 0
443, 12, 1
445, 10, 1
449, 6, 0
461, -6, 0
461, -6, 0
446, 9, 0
461, -6, 0
461, -6, 0
443, 12, 1
446, 9, 0
449, 6, 0
454, 1, 0
461, -6, 0
462, -7, 0
461, -6, 0
462, -7, 0
441, 14, 1
443, 12, 1
446, 9, 0
462, -7, 0
462, -7, 0
462, -7, 0
462, -7, 0
439, 16, 1
440, 15, 1
460, -5, 0
440, 15, 1
443, 12, 1
446, 9, 0
449, 6, 0
462, -7, 0
450, 5, 0
455, 0, 0
462, -7, 0
450, 5, 0
462, -7, 0
451, 4, 0
463, -8, 0
451, 4, 0
455, 0, 0
462, -7, 0
451, 4, 0
455, 0, 0
462, -7, 0
451, 4, 0
462, -7, 0
463, -8, 0
462, -7, 0
444, 11, 1
462, -7, 0
444, 11, 1
462, -7, 0
462, -7, 0
441, 14, 1
443, 12, 1
445, 10, 1
449, 6, 0
454, 1, 0
461, -6, 0
462, -7, 0
461, -6, 0
461, -6, 0
441, 14, 1
460, -5, 0
460, -5, 0
438, 17, 1
439, 16, 1
441, 14, 1
444, 11, 1
448, 7, 0
460, -5, 0
449, 6, 0
453, 2, 0
455, 0, 0
462, -7, 0
462, -7, 0
448, 7, 0
463, -8, 0
463, -8, 0
445, 10, 1
463, -8, 0
462, -7, 0
442, 13, 1
444, 11, 1
462, -7, 0
444, 11, 1
462, -7, 0
444, 11, 1
447, 8, 0
451, 4, 0
456, -1, 0
463, -8, 0
464, -9, 0
448, 7, 0
463, -8, 0
463, -8, 0
463, -8, 0
463, -8, 0
462, -7, 0
461, -6, 0
439, 16, 1
460, -5, 0
459, -4, 0
447, 8, 0
457, -2, 0
457, -2, 0
457, -2, 0
434, 21, 2
456, -1, 0
435, 20, 2
457, -2, 0
458, -3, 0
441, 14, 1
444, 11, 1
448, 7, 0
454, 1, 0
461, -6, 0
462, -7, 0
462, -7, 0
462, -7, 0
461, -6, 0
439, 16, 1
440, 15, 1
460, -5, 0
440, 15, 1
442, 13, 1
445, 10, 1
449, 6, 0
461, -6, 0
461, -6, 0
446, 9, 0
450, 5, 0
455, 0, 0
455, 0, 0
456, -1, 0
463, -8, 0
463, -8, 0
463, -8, 0
445, 10, 1
462, -7, 0
462, -7, 0
441, 14, 1
443, 12, 1
445, 10, 1
449, 6, 0
454, 1, 0
454, 1, 0
455, 0, 0
462, -7, 0
450, 5, 0
455, 0, 0
455, 0, 0
456, -1, 0
463, -8, 0
451, 4, 0
463, -8, 0
462, -7, 0
462, -7, 0
461, -6, 0
441, 14, 1
443, 12, 1
460, -5, 0
460, -5, 0
440, 15, 1
442, 13, 1
445, 10, 1
448, 7, 0
461, -6, 0
461, -6, 0
446, 9, 0
450, 5, 0
455, 0, 0
463, -8, 0
451, 4, 0
463, -8, 0
463, -8, 0
463, -8, 0
445, 10, 1
